product name,category,description,brand,color,size,material
Blueberry scented candle,Home Fragrance,A soothing candle with a blueberry scent to create a calming atmosphere.,ScentCo,Blue,Small,Wax
Stainless steel water bottle,Accessories,A durable stainless steel water bottle for all your hydration needs.,HydratePro,Silver,Medium,Stainless Steel
Leather messenger bag,Accessories,A stylish leather bag perfect for work or casual outings.,Urban Gear,Brown,Medium,Leather
Organic coconut oil,Beauty & Wellness,"Pure organic coconut oil for skincare, haircare, and cooking.",CocoPure,Clear,Unknown,Coconut Oil
Bluetooth wireless earbuds,Electronics,High-quality wireless earbuds for crystal clear sound and comfort.,SoundMax,Black,Small,Plastic/Metal
Floral patterned throw pillow,Home Decor,A decorative throw pillow with a beautiful floral pattern for your living space.,CozyHome,Multicolor,Small,Fabric
Bamboo cutting board set,Kitchenware,A set of eco-friendly bamboo cutting boards for food preparation.,GreenChoice,Brown,Medium,Bamboo
Aromatherapy essential oil diffuser,Home Fragrance,A diffuser that disperses essential oils to create a relaxing environment.,ZenMist,White,Small,Plastic/Glass
Resistance band set,Fitness,A set of resistance bands for strength training and exercise routines.,FitFlex,Varied,Unknown,Rubber
Ceramic plant pot with saucer,Home Decor,A stylish ceramic plant pot with an attached saucer for drainage.,GreenThumb,White,Medium,Ceramic
Insulated lunch box,Accessories,A lunch box with thermal insulation to keep your food fresh and hot.,LunchPro,Blue,Medium,Plastic
Himalayan salt lamp,Home Decor,A decorative salt lamp that provides a calming glow and air purification.,PureSalt,Pink,Small,Himalayan Salt
Reusable silicone food storage bags,Kitchenware,"Eco-friendly, reusable silicone bags for food storage.",EcoBags,Clear,Various,Silicone
Handwoven rattan basket,Home Decor,A beautiful handwoven rattan basket for storage or decoration.,CraftHome,Brown,Medium,Rattan
Yoga mat with carrying strap,Fitness,A non-slip yoga mat with a convenient carrying strap.,YogaFlex,Purple,Large,PVC
Stainless steel french press coffee maker,Kitchenware,A sleek stainless steel French press for brewing fresh coffee.,BrewMaster,Silver,Large,Stainless Steel
Memory foam travel neck pillow,Accessories,A comfortable memory foam pillow for neck support during travel.,TravelEase,Gray,Small,Memory Foam
Glass meal prep containers set,Kitchenware,A set of glass containers for meal prepping and storing food.,PrepSmart,Clear,Medium,Glass
Vegan leather wallet,Accessories,A stylish vegan leather wallet with multiple card slots.,EcoStyle,Black,Small,Vegan Leather
LED desk lamp with USB charging port,Home Office,A modern LED desk lamp with a built-in USB charging port for convenience.,LightTech,White,Medium,Plastic/Metal
